strategy,timeframe,sharpe,return,trades,win_rate,max_dd,p_value,validated,error
Random Forest Ensemble,H4,0.0,0.0,0,0.0,0.0,1.0,False,'numpy.float64' object has no attribute 'rolling'
Random Forest Ensemble,D1,0.0,0.0,0,0.0,0.0,1.0,False,'numpy.float64' object has no attribute 'rolling'
ADX + Bollinger Squeeze,M15,-0.6581963638805004,-61.77108901885568,564,56.205673758865245,76.69438426351218,0.16281678198651922,False,
ADX + Bollinger Squeeze,H1,-0.6578122942430517,-23.752386477387017,147,55.10204081632652,73.50675160013202,0.30866789930965854,False,
ADX + Bollinger Squeeze,H4,4.850284742465709,48.74236926872352,39,71.7948717948718,14.51406048908051,0.03365331938491745,True,
ADX + Bollinger Squeeze,D1,-5.800314433092313,-3.383062751942107,3,33.33333333333333,3.7981532480155513,0.32840317166569993,False,
Day of Week Effect,M15,-0.29821520956726394,-66.56219894987777,2230,37.71300448430493,100.21388308650614,0.18760876972483964,False,
Day of Week Effect,H1,-0.6339323909068311,-50.81839487789219,674,36.053412462908014,76.71399510481565,0.15029243110743834,False,
Day of Week Effect,H4,-0.003938552320151598,-0.1250116045337927,242,39.66942148760331,37.5976834484652,0.4984650177922177,False,
Day of Week Effect,D1,-3.39778875411509,-14.045233825319665,40,30.0,21.821769335237903,0.09453602501394316,False,
Genetic Algorithm Optimized,M15,0.06340810199601508,18.780969163995486,1342,46.19970193740686,93.03933154309297,0.4418646360940013,False,
Genetic Algorithm Optimized,H1,1.4491586771299896,190.43923963385194,379,51.187335092348285,50.616995688329624,0.03836370887545227,False,
Genetic Algorithm Optimized,H4,2.1043884785204976,76.89971227859878,131,54.961832061068705,34.29713750041898,0.06654888073594806,False,
Genetic Algorithm Optimized,D1,10.176986179515154,32.34173047330443,17,76.47058823529412,10.521635426508928,0.010395200786591617,False,
Historical Volatility Ratio,M15,-1.2414529077481915,-83.33865339175142,664,30.72289156626506,97.62023194848626,0.022224248587829377,False,
Historical Volatility Ratio,H1,0.041764962514682626,1.252978846879505,136,34.55882352941176,50.64297654159429,0.48782927640633594,False,
Historical Volatility Ratio,H4,2.8361166820403825,24.327482282035128,34,44.11764705882353,17.43658217378681,0.1561037833447588,False,
Historical Volatility Ratio,D1,4.247827012007113,4.617830350055665,6,50.0,3.7724807630062243,0.28784044805940584,False,
Monthly Seasonality,M15,0.41057835195115366,79.77272700982935,1596,43.609022556390975,56.81159061286357,0.15089371484557942,False,
Monthly Seasonality,H1,0.447684694229081,19.689643728127685,363,41.04683195592286,26.585288622045557,0.2959471833885185,False,
Monthly Seasonality,H4,5.086148112683309,58.99516820095323,81,59.25925925925925,13.361095377138898,0.002657054584542441,True,
Monthly Seasonality,D1,13.323769731092348,26.6106440521711,18,72.22222222222221,2.136799783770475,0.0014943393123427178,False,
Neural Network Signals,M15,-0.2956625786022133,-29.99613911302681,1318,35.73596358118361,54.21693274408659,0.2496081760254515,False,
Neural Network Signals,H1,-0.3418470671917773,-11.932771746392282,378,37.56613756613756,29.175017626922845,0.3380482559431689,False,
Neural Network Signals,H4,0.6295217120810961,6.645320944365213,110,35.45454545454545,22.180678968552474,0.33983567950906124,False,
Neural Network Signals,D1,3.680514244667083,8.647749550175266,22,59.09090909090909,4.680445245979844,0.15004359750022,False,
RSI Divergence + MACD,M15,0.6204632468368627,157.09593736841737,609,49.75369458128079,146.52074808291349,0.1677754413119722,False,
RSI Divergence + MACD,H1,1.9292368981530146,70.40906138967541,145,55.86206896551724,27.073278774088994,0.07345866901307153,False,
RSI Divergence + MACD,H4,7.435024716260565,43.39619249997966,32,62.5,7.322923221388519,0.006947311335245776,True,
RSI Divergence + MACD,D1,123.29443228486741,11.945781992521189,4,100.0,0.0,0.0004440754571682232,False,
SVM Classification,M15,-0.09034554482101634,-41.2169999962051,3320,38.10240963855422,177.25228736747718,0.37151291693101707,False,
SVM Classification,H1,-0.03824579030555417,-4.544853219613669,933,38.47802786709539,61.71137028616068,0.470691537097504,False,
SVM Classification,H4,1.3992948095436524,51.532128171144706,248,43.54838709677419,30.890002713015985,0.08359862772152461,False,
